Date,LineNumber,UNIT_MULT,DataValue
2000-01-01,1,0,72.961
2000-01-01,21,0,64.446
2000-01-01,28,0,65.024
2000-01-01,9,0,70.875
2000-01-01,24,0,59.358
2000-01-01,19,0,62.562
2000-01-01,14,0,63.656
2000-01-01,15,0,61.801
2000-01-01,4,0,96.885
2000-01-01,30,0,74.356
2000-01-01,3,0,141.202
2000-01-01,29,0,62.915
2000-01-01,25,0,74.306
2000-01-01,22,0,83.969
2000-01-01,18,0,65.658
2000-01-01,8,0,74.551
2000-01-01,2,0,93.129
2000-01-01,31,0,76.164
2000-01-01,5,0,134.728
2000-01-01,11,0,53.218
2000-01-01,13,0,64.396
2000-01-01,12,0,75.564
2000-01-01,20,0,59.002
2000-01-01,6,0,270.886
2000-01-01,26,0,76.96
2000-01-01,23,0,65.039
2000-01-01,10,0,107.004
2000-01-01,17,0,70.178
2000-01-01,16,0,66.143
2000-01-01,7,0,111.501
2000-01-01,27,0,56.537
2000-02-01,12,0,75.723
2000-02-01,6,0,268.783
2000-02-01,29,0,63.083
2000-02-01,27,0,58.594
2000-02-01,13,0,64.588
2000-02-01,25,0,74.415
2000-02-01,14,0,63.837
2000-02-01,19,0,62.655
2000-02-01,21,0,64.42
2000-02-01,28,0,65.199
2000-02-01,20,0,59.316
2000-02-01,11,0,56.142
2000-02-01,5,0,134.716
2000-02-01,7,0,111.762
2000-02-01,4,0,96.627
2000-02-01,26,0,77.055
2000-02-01,8,0,75.092
2000-02-01,9,0,71.077
2000-02-01,15,0,62.033
2000-02-01,17,0,70.611
2000-02-01,16,0,66.27
2000-02-01,24,0,59.503
2000-02-01,10,0,106.643
2000-02-01,23,0,65.264
2000-02-01,3,0,140.81
2000-02-01,30,0,74.606
2000-02-01,2,0,93.448
2000-02-01,22,0,84.518
2000-02-01,18,0,65.831
2000-02-01,1,0,73.191
2000-02-01,31,0,76.278
2000-03-01,31,0,76.412
2000-03-01,13,0,64.703
2000-03-01,7,0,112.04
2000-03-01,2,0,94.259
2000-03-01,10,0,106.667
2000-03-01,27,0,61.585
2000-03-01,20,0,59.179
2000-03-01,16,0,66.326
2000-03-01,23,0,65.547
2000-03-01,6,0,267.805
2000-03-01,26,0,77.206
2000-03-01,1,0,73.505
2000-03-01,17,0,70.966
2000-03-01,5,0,135.565
2000-03-01,11,0,60.987
2000-03-01,29,0,63.242
2000-03-01,22,0,85.498
2000-03-01,25,0,74.568
2000-03-01,14,0,63.928
