Date,LineNumber,UNIT_MULT,DataValue
2000-01-01,1,0,4.1
2000-01-01,2,0,5.0
2000-01-01,3,0,5.2
2000-01-01,4,0,8.6
2000-01-01,5,0,3.2
2000-01-01,6,0,5.0
2000-01-01,7,0,6.7
2000-01-01,8,0,7.1
2000-01-01,9,0,9.3
2000-01-01,10,0,8.1
2000-01-01,11,0,9.7
2000-01-01,12,0,9.5
2000-01-01,13,0,0.7
2000-01-01,16,0,8.3
2000-01-01,17,0,9.8
2000-01-01,18,0,4.5
2000-01-01,19,0,13.0
2000-01-01,20,0,13.1
2000-01-01,21,0,12.7
2000-01-01,22,0,1.8
2000-01-01,23,0,0.3
2000-01-01,24,0,-0.9
2000-01-01,25,0,2.3
2000-01-01,26,0,2.7
2000-01-01,27,0,6.4
