Datetime,asset,category,interval,source,open,high,low,close,volume,dividends,stock_splits,symbol,assetcode,name,price_change,price_change_abs,hl_range,oc_range,ma_10,ma_20,ma_50,volatility_14,volatility_annualized,rsi,volume_change,volume_ma_20,volume_ratio,high_20,low_20,price_position,hour,day_of_week,day_of_month,month,williams_r,cci,adx,volatility_regime,momentum_5,momentum_10,momentum_20,momentum_50,resistance_level,support_level,price_position_enhanced,volume_roc,volume_ma_50,volume_ratio_50,volume_trend,trend_strength,market_regime,data_quality_flag,processing_timestamp,silver_processing_timestamp
2025-08-11 12:00:00+00:00,BTC,crypto,1h,yahoo_finance,120580.1640625,120601.6640625,119532.65625,119532.65625,0,0.0,0.0,BTC-USD,BTC,Bitcoin,,,1069.0078125,1047.5078125,,,,,,,,,,,,,12,0,11,8,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 13:00:00+00:00,BTC,crypto,1h,yahoo_finance,119592.1015625,120275.6796875,119412.0234375,120021.5390625,1977982976,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0040899518829189,488.8828125,863.65625,429.4375,,,,,,,inf,,,,,,13,0,11,8,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 14:00:00+00:00,BTC,crypto,1h,yahoo_finance,120009.6328125,120533.515625,119810.3828125,120229.578125,1737252864,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0017333477317906,208.0390625,723.1328125,219.9453125,,,,,,,-0.1217048452493859,,,,,,14,0,11,8,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 15:00:00+00:00,BTC,crypto,1h,yahoo_finance,120182.234375,120378.140625,119876.25,120298.703125,0,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0005749417163232,69.125,501.890625,116.46875,,,,,,,-1.0,,,,,,15,0,11,8,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 16:00:00+00:00,BTC,crypto,1h,yahoo_finance,120274.6640625,120761.953125,119969.0859375,120025.6640625,1262903296,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0022696758602317,-273.0390625,792.8671875,249.0,,,,,,,inf,,,,,,16,0,11,8,,,,normal,,,,,,,,,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 17:00:00+00:00,BTC,crypto,1h,yahoo_finance,119955.796875,120147.4765625,119521.953125,119530.5859375,1693450240,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0041247688889453,-495.078125,625.5234375,425.2109375,,,,,,,0.3409183785992749,,,,,,17,0,11,8,,,,normal,-1.732005767252076e-05,,,,,,,inf,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 18:00:00+00:00,BTC,crypto,1h,yahoo_finance,119477.9765625,119860.6015625,119319.8515625,119749.9609375,1063051264,0.0,0.0,BTC-USD,BTC,Bitcoin,0.0018353043137822,219.375,540.75,271.984375,,,,,,,-0.3722571594427244,,,,,,18,0,11,8,,,,normal,-0.0022627448966353603,,,,,,,-0.4625579305289228,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 19:00:00+00:00,BTC,crypto,1h,yahoo_finance,119765.6875,119765.6875,118702.703125,119041.1796875,0,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0059188432668461,-708.78125,1062.984375,724.5078125,,,,,,,-1.0,,,,,,19,0,11,8,,,,normal,-0.009884409943320627,,,,,,,-1.0,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 20:00:00+00:00,BTC,crypto,1h,yahoo_finance,119069.25,119072.4921875,118593.59375,118884.6875,987791360,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0013146054828322,-156.4921875,478.8984375,184.5625,,,,,,,inf,,,,,,20,0,11,8,,,,normal,-0.01175420506013869,,,,,,,inf,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
2025-08-11 21:00:00+00:00,BTC,crypto,1h,yahoo_finance,118870.25,119142.859375,118244.21875,118701.859375,79028224,0.0,0.0,BTC-USD,BTC,Bitcoin,-0.0015378610050179,-182.828125,898.640625,168.390625,119601.64140625,,,,,,-0.919995024050423,,,,,,21,0,11,8,,,,normal,-0.011029346913762228,,,,,,,-0.937423376555983,,,0,,sideways,1,2025-09-11 12:47:24.165870,2025-09-13T16:05:03.039338
