,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-09-11,60700.12369671875,56050.208089057676,58863.69932079978,60700.12369671875,60700.12369671875,-3246.783446819059,-3246.783446819059,-3246.783446819059,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-304.145850338889,-304.145850338889,-304.145850338889,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-22.153786127567198,-22.153786127567198,-22.153786127567198,-2942.63759648017,-2942.63759648017,-2942.63759648017,0.0,0.0,0.0,57453.340249899695
1,2024-09-12,60878.0211525349,56950.91545138136,59649.24679299915,60878.0211525349,60878.0211525349,-2568.416833353788,-2568.416833353788,-2568.416833353788,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-311.60247472965307,-311.60247472965307,-311.60247472965307,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-29.610410518331282,-29.610410518331282,-29.610410518331282,-2256.814358624135,-2256.814358624135,-2256.814358624135,0.0,0.0,0.0,58309.60431918111
2,2024-09-13,61055.91860835105,57649.40813481658,60426.30337922867,61055.91860835105,61055.91860835105,-2007.3011142277328,-2007.3011142277328,-2007.3011142277328,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-314.7239785248386,-314.7239785248386,-314.7239785248386,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-32.73191431351683,-32.73191431351683,-32.73191431351683,-1692.5771357028939,-1692.5771357028939,-1692.5771357028939,0.0,0.0,0.0,59048.61749412332
3,2024-09-14,61233.81606416721,58269.1922251459,61119.27228661732,61233.81606416721,61233.81606416721,-1594.7785549236514,-1594.7785549236514,-1594.7785549236514,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-351.9963083513784,-351.9963083513784,-351.9963083513784,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-70.00424414005661,-70.00424414005661,-70.00424414005661,-1242.7822465722732,-1242.7822465722732,-1242.7822465722732,0.0,0.0,0.0,59639.03750924356
4,2024-09-15,61411.71351998336,58826.13229165667,61540.560585081555,61411.71351998336,61411.71351998336,-1247.0023069832073,-1247.0023069832073,-1247.0023069832073,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-348.0687153060844,-348.0687153060844,-348.0687153060844,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-66.07665109476264,-66.07665109476264,-66.07665109476264,-898.9335916771231,-898.9335916771231,-898.9335916771231,0.0,0.0,0.0,60164.71121300015
5,2024-09-16,61589.61097579951,59168.98934345009,62081.47920659439,61589.61097579951,61589.61097579951,-967.2841811186263,-967.2841811186263,-967.2841811186263,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-315.78609081232753,-315.78609081232753,-315.78609081232753,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-33.794026601005726,-33.794026601005726,-33.794026601005726,-651.4980903062988,-651.4980903062988,-651.4980903062988,0.0,0.0,0.0,60622.32679468088
6,2024-09-17,61767.50843161566,59643.60860691838,62449.989492681314,61767.50843161566,61767.50843161566,-791.9896634070379,-791.9896634070379,-791.9896634070379,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-301.76382870761427,-301.76382870761427,-301.76382870761427,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-19.77176449629255,-19.77176449629255,-19.77176449629255,-490.2258346994237,-490.2258346994237,-490.2258346994237,0.0,0.0,0.0,60975.51876820862
7,2024-09-18,61945.40588743181,59808.058752005934,62726.70173017642,61945.40588743181,61945.40588743181,-699.4655164447803,-699.4655164447803,-699.4655164447803,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-294.9992315774308,-294.9992315774308,-294.9992315774308,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-13.007167366109005,-13.007167366109005,-13.007167366109005,-404.46628486734954,-404.46628486734954,-404.46628486734954,0.0,0.0,0.0,61245.940370987024
8,2024-09-19,62123.303343247964,60202.592209476,62755.21209199229,62123.303343247964,62123.303343247964,-674.48123309919,-674.48123309919,-674.48123309919,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-291.0089979414875,-291.0089979414875,-291.0089979414875,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-9.016933730165718,-9.016933730165718,-9.016933730165718,-383.47223515770247,-383.47223515770247,-383.47223515770247,0.0,0.0,0.0,61448.82211014877
9,2024-09-20,62301.200799064114,60177.07509865045,63071.75865056426,62301.200799064114,62301.200799064114,-725.1735157032548,-725.1735157032548,-725.1735157032548,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,-308.4896109387994,-308.4896109387994,-308.4896109387994,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,-41.75039143966169,-41.75039143966169,-41.75039143966169,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-26.497546727477626,-26.497546727477626,-26.497546727477626,-416.68390476445546,-416.68390476445546,-416.68390476445546,0.0,0.0,0.0,61576.02728336086
10,2024-09-21,62479.098254880264,61531.89405963834,64272.21322504957,62479.098254880264,62479.098254880264,442.03542257033706,442.03542257033706,442.03542257033706,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,936.0217411067281,936.0217411067281,936.0217411067281,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,1250.9546008796938,1250.9546008796938,1250.9546008796938,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-74.69118700130552,-74.69118700130552,-74.69118700130552,-493.98631853639114,-493.98631853639114,-493.98631853639114,0.0,0.0,0.0,62921.1336774506
11,2024-09-22,62656.995710696414,61377.750603908404,64279.475055360504,62656.995710696414,62656.995710696414,184.721922244677,184.721922244677,184.721922244677,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,790.656047538,790.656047538,790.656047538,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,1092.188577894212,1092.188577894212,1092.188577894212,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-61.29085758455186,-61.29085758455186,-61.29085758455186,-605.9341252933231,-605.9341252933231,-605.9341252933231,0.0,0.0,0.0,62841.717632941094
12,2024-09-23,62834.893166512564,60745.09370670191,63551.87211744955,62834.893166512564,62834.893166512564,-672.1248272955465,-672.1248272955465,-672.1248272955465,-272.6240455555185,-272.6240455555185,-272.6240455555185,-41.25522404367261,-41.25522404367261,-41.25522404367261,71.81429093640742,71.81429093640742,71.81429093640742,-297.9090190423076,-297.9090190423076,-297.9090190423076,257.8079783589172,257.8079783589172,257.8079783589172,347.3177985351724,347.3177985351724,347.3177985351724,-48.07255279996442,-48.07255279996442,-48.07255279996442,161.81119031088588,161.81119031088588,161.81119031088588,-35.26183482710488,-35.26183482710488,-35.26183482710488,-743.939118231954,-743.939118231954,-743.939118231954,0.0,0.0,0.0,62162.768339217015
