,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,adx,adx_lower,adx_upper,cci,cci_lower,cci_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ma_20,ma_20_lower,ma_20_upper,ma_50,ma_50_lower,ma_50_upper,momentum_10,momentum_10_lower,momentum_10_upper,rsi,rsi_lower,rsi_upper,volatility_14,volatility_14_lower,volatility_14_upper,volume,volume_lower,volume_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-09-11,2533.0262295898438,2293.795132087674,2424.2322951126043,2533.0262295898438,2533.0262295898438,-173.79947907239256,-173.79947907239256,-173.79947907239256,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.49390525300026,82.49390525300026,82.49390525300026,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.2854667457298451,0.2854667457298451,0.2854667457298451,-256.2933843253928,-256.2933843253928,-256.2933843253928,0.0,0.0,0.0,2359.2267505174514
1,2024-09-12,2533.6027758529144,2293.2869472927064,2428.4817720298606,2533.6027758529144,2533.6027758529144,-172.4383550417383,-172.4383550417383,-172.4383550417383,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.60518886374601,82.60518886374601,82.60518886374601,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.3967503564755845,0.3967503564755845,0.3967503564755845,-255.0435439054843,-255.0435439054843,-255.0435439054843,0.0,0.0,0.0,2361.164420811176
2,2024-09-13,2534.179322115986,2295.622182011192,2430.2583383928186,2534.179322115986,2534.179322115986,-168.6599012361621,-168.6599012361621,-168.6599012361621,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.54952150649282,82.54952150649282,82.54952150649282,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.3410829992224035,0.3410829992224035,0.3410829992224035,-251.20942274265497,-251.20942274265497,-251.20942274265497,0.0,0.0,0.0,2365.519420879824
3,2024-09-14,2534.755868379057,2300.1667748431005,2439.421722871062,2534.755868379057,2534.755868379057,-162.23943482154414,-162.23943482154414,-162.23943482154414,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.74435124533309,82.74435124533309,82.74435124533309,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.5359127380626688,0.5359127380626688,0.5359127380626688,-244.98378606687723,-244.98378606687723,-244.98378606687723,0.0,0.0,0.0,2372.5164335575128
4,2024-09-15,2535.3324146421282,2310.3088470186717,2451.0332446314756,2535.3324146421282,2535.3324146421282,-153.92191808563982,-153.92191808563982,-153.92191808563982,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.67515323428971,82.67515323428971,82.67515323428971,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.46671472701929345,0.46671472701929345,0.46671472701929345,-236.59707131992954,-236.59707131992954,-236.59707131992954,0.0,0.0,0.0,2381.4104965564884
5,2024-09-16,2535.9089609051994,2325.072079712608,2461.1694962281604,2535.9089609051994,2535.9089609051994,-143.86950065035134,-143.86950065035134,-143.86950065035134,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.44287928360032,82.44287928360032,82.44287928360032,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.23444077632990737,0.23444077632990737,0.23444077632990737,-226.31237993395166,-226.31237993395166,-226.31237993395166,0.0,0.0,0.0,2392.039460254848
6,2024-09-17,2536.4855071682705,2344.3383632174905,2471.261152983833,2536.4855071682705,2536.4855071682705,-131.9260026711015,-131.9260026711015,-131.9260026711015,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.49384938033982,82.49384938033982,82.49384938033982,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.2854108730694197,0.2854108730694197,0.2854108730694197,-214.4198520514413,-214.4198520514413,-214.4198520514413,0.0,0.0,0.0,2404.559504497169
7,2024-09-18,2537.0620534313416,2354.5974021327797,2489.240950830139,2537.0620534313416,2537.0620534313416,-118.83436427409617,-118.83436427409617,-118.83436427409617,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.39616966617977,82.39616966617977,82.39616966617977,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.18773115890936545,0.18773115890936545,0.18773115890936545,-201.23053394027596,-201.23053394027596,-201.23053394027596,0.0,0.0,0.0,2418.2276891572455
8,2024-09-19,2537.6385996944127,2361.980604658154,2500.8681431085124,2537.6385996944127,2537.6385996944127,-104.6833837999036,-104.6833837999036,-104.6833837999036,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.38647616146604,82.38647616146604,82.38647616146604,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.1780376541956205,0.1780376541956205,0.1780376541956205,-187.06985996136962,-187.06985996136962,-187.06985996136962,0.0,0.0,0.0,2432.955215894509
9,2024-09-20,2538.2151459574843,2380.3861718640596,2519.215011353522,2538.2151459574843,2538.2151459574843,-89.90795552717464,-89.90795552717464,-89.90795552717464,0.40097654546288725,0.40097654546288725,0.40097654546288725,5.487661990332026,5.487661990332026,5.487661990332026,82.36292511679194,82.36292511679194,82.36292511679194,13.307205139958374,13.307205139958374,13.307205139958374,42.12733048281852,42.12733048281852,42.12733048281852,10.301606784412764,10.301606784412764,10.301606784412764,10.351596019763344,10.351596019763344,10.351596019763344,0.23206154452250144,0.23206154452250144,0.23206154452250144,0.1544866095215197,0.1544866095215197,0.1544866095215197,-172.27088064396656,-172.27088064396656,-172.27088064396656,0.0,0.0,0.0,2448.3071904303097
