ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,atr_14,atr_14_lower,atr_14_upper,carry_trade_proxy,carry_trade_proxy_lower,carry_trade_proxy_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,ma_20,ma_20_lower,ma_20_upper,market_session,market_session_lower,market_session_upper,mean_reversion,mean_reversion_lower,mean_reversion_upper,momentum_5,momentum_5_lower,momentum_5_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,risk_sentiment,risk_sentiment_lower,risk_sentiment_upper,rsi_14,rsi_14_lower,rsi_14_upper,volatility_regime,volatility_regime_lower,volatility_regime_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-08-11 12:00:00,1.3454909139585496,1.3414694391712005,1.3419855712978974,1.3454909139585496,1.3454909139585496,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027364729372444277,-0.0027364729372444277,-0.0027364729372444277,-0.004455012290255,-0.004455012290255,-0.004455012290255,-2.04864887079688e-06,-2.04864887079688e-06,-2.04864887079688e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.002812074180973938,-0.002812074180973938,-0.002812074180973938,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-7.560124372950978e-05,-7.560124372950978e-05,-7.560124372950978e-05,0.0,0.0,0.0,1.3417072936986716
2025-08-11 13:00:00,1.345639308950774,1.3415992079223868,1.3421598982145018,1.345639308950774,1.345639308950774,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027364729372444277,-0.0027364729372444277,-0.0027364729372444277,-0.004455012290255,-0.004455012290255,-0.004455012290255,-2.04864887079688e-06,-2.04864887079688e-06,-2.04864887079688e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.0028102554964836873,-0.0028102554964836873,-0.0028102554964836873,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-7.378255923925958e-05,-7.378255923925958e-05,-7.378255923925958e-05,0.0,0.0,0.0,1.3418577186865106
2025-08-11 14:00:00,1.3457877039429988,1.3417431133816018,1.3422182658586974,1.3457877039429988,1.3457877039429988,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027364729372444277,-0.0027364729372444277,-0.0027364729372444277,-0.004455012290255,-0.004455012290255,-0.004455012290255,-2.04864887079688e-06,-2.04864887079688e-06,-2.04864887079688e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.002807651916732453,-0.002807651916732453,-0.002807651916732453,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-7.117897948802522e-05,-7.117897948802522e-05,-7.117897948802522e-05,0.0,0.0,0.0,1.3420092005165083
2025-08-11 15:00:00,1.3459360989352236,1.341900754949047,1.342375098775714,1.3459360989352236,1.3459360989352236,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027364729372444277,-0.0027364729372444277,-0.0027364729372444277,-0.004455012290255,-0.004455012290255,-0.004455012290255,-2.04864887079688e-06,-2.04864887079688e-06,-2.04864887079688e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.002804329628827511,-0.002804329628827511,-0.002804329628827511,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-6.785669158308343e-05,-6.785669158308343e-05,-6.785669158308343e-05,0.0,0.0,0.0,1.3421616504544711
2025-08-11 16:00:00,1.3460844939274481,1.342090108973429,1.3425365822979698,1.3460844939274481,1.3460844939274481,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027323379805162386,-0.0027323379805162386,-0.0027323379805162386,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.0027962268903267413,-0.0027962268903267413,-0.0027962268903267413,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-6.388890981050299e-05,-6.388890981050299e-05,-6.388890981050299e-05,0.0,0.0,0.0,1.3423205362688764
2025-08-11 17:00:00,1.3462328889196726,1.3422330811438274,1.3427159538252709,1.3462328889196726,1.3462328889196726,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027323379805162386,-0.0027323379805162386,-0.0027323379805162386,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.397129607832704e-06,2.397129607832704e-06,2.397129607832704e-06,-0.002791692978526611,-0.002791692978526611,-0.002791692978526611,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-5.9354998010372885e-05,-5.9354998010372885e-05,-5.9354998010372885e-05,0.0,0.0,0.0,1.3424746200162139
2025-08-11 18:00:00,1.3463812839118974,1.3424012397278309,1.342888598999135,1.3463812839118974,1.3463812839118974,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.002729980417501273,-0.002729980417501273,-0.002729980417501273,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,4.754692622797835e-06,4.754692622797835e-06,4.754692622797835e-06,-0.0027843199442504013,-0.0027843199442504013,-0.0027843199442504013,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-5.433952674912723e-05,-5.433952674912723e-05,-5.433952674912723e-05,0.0,0.0,0.0,1.342632527650536
2025-08-11 19:00:00,1.346529678904122,1.3425044744118468,1.343015583116498,1.346529678904122,1.346529678904122,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027278197252044133,-0.0027278197252044133,-0.0027278197252044133,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,6.915384919657935e-06,6.915384919657935e-06,6.915384919657935e-06,-0.0027767510017361286,-0.0027767510017361286,-0.0027767510017361286,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-4.8931276531715186e-05,-4.8931276531715186e-05,-4.8931276531715186e-05,0.0,0.0,0.0,1.3427907012693574
2025-08-11 20:00:00,1.3466780738963466,1.342724451780411,1.3431423491071526,1.3466780738963466,1.3466780738963466,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.0027296004335260887,-0.0027296004335260887,-0.0027296004335260887,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,5.1346765979825945e-06,5.1346765979825945e-06,5.1346765979825945e-06,-0.0027728226324302213,-0.0027728226324302213,-0.0027728226324302213,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-4.3222198904132355e-05,-4.3222198904132355e-05,-4.3222198904132355e-05,0.0,0.0,0.0,1.3429439744544494
2025-08-11 21:00:00,1.3468264688885714,1.342899572778117,1.3433924244595226,1.3468264688885714,1.3468264688885714,-0.00011267618771973033,-0.00011267618771973033,-0.00011267618771973033,-3.6362548750172806e-05,-3.6362548750172806e-05,-3.6362548750172806e-05,-0.002732464926979496,-0.002732464926979496,-0.002732464926979496,-0.004455012290255,-0.004455012290255,-0.004455012290255,2.08630785739241e-06,2.08630785739241e-06,2.08630785739241e-06,0.0017882487408084759,0.0017882487408084759,0.0017882487408084759,2.2701831445749572e-06,2.2701831445749572e-06,2.2701831445749572e-06,-0.0027697712747470704,-0.0027697712747470704,-0.0027697712747470704,1.7494861772710314e-06,1.7494861772710314e-06,1.7494861772710314e-06,6.477370315405844e-05,6.477370315405844e-05,6.477370315405844e-05,1.2457678603634565e-05,1.2457678603634565e-05,1.2457678603634565e-05,-3.7306347767574786e-05,-3.7306347767574786e-05,-3.7306347767574786e-05,0.0,0.0,0.0,1.3430960676229748
