"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADSW","Advanced Disposal Services, Inc.","22.46","1970201015.02","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"ALP^O","Alabama Power Company","25.85","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"AQN","Algonquin Power & Utilities Corp.","8.35","2288490729.1","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"ALE","Allete, Inc.","63.66","3148795482","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","37.93","8629091234.04","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","52.38","12709210719.24","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","12.58","41239756000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","12.8","41960960000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","62.76","30859815811.08","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","18.2","760714154.2","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","44.95","1643810082.7","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","72.25","12860743265.75","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AM","Antero Midstream Partners LP","30.57","5420037980.79","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","29.98","5317200544.86","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","22.06","582119632.96","n/a","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/waas",
"AROC","Archrock, Inc.","13.75","957360662.5","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aroc",
"T","AT&T Inc.","43.02","264185820000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATTO","Atento S.A.","7.85","579221866.25","n/a","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atto",
"ATO","Atmos Energy Corporation","74.55","7834812419.7","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"AGR","Avangrid, Inc.","38.11","11776126776.79","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/agr",
"AVA","Avista Corporation","39.71","2548762484.29","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ava",
"AZRE","Azure Power Global Limited","17.15","444458696.85","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/azre",
"BCE","BCE, Inc.","43.47","37841750048.97","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bce",
"BKH","Black Hills Corporation","60.52","3216505158.6","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bkh",
"BKHU","Black Hills Corporation","67.3766","0","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bkhu",
"BWP","Boardwalk Pipeline Partners L.P.","17.7","4430253041.4","n/a","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/bwp",
"BEP","Brookfield Renewable Partners L.P.","29","4835821137","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bep",
"BT","BT Group plc","23.19","46200043582.47","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"CWT","California Water  Service Group Holding","33.75","1618927155","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwt",
