Date,Year,Month,Day,Quarter,Week,Weekday,Open,High,Low,Close,Volume,AdjClose,AdjCloseplus1,Briefing_Research_Firm,Briefing_Research_Action,Briefing_Research_From,Briefing_Research_To
2015-10-09,2015,10,9,4,41,6,152.460007,153.149994,151.270004,152.389999,3437700,152.389999,149.735452,#N/A,#N/A,#N/A,#N/A
2015-10-08,2015,10,8,4,41,5,149.690002,153.020004,149.289993,152.279999,4777100,152.279999,152.389999,#N/A,#N/A,#N/A,#N/A
2015-10-07,2015,10,7,4,41,4,150.039993,150.729996,148.860001,150.089996,2980800,150.089996,152.279999,#N/A,#N/A,#N/A,#N/A
2015-10-06,2015,10,6,4,41,3,149.059998,150.149994,148.490005,148.779999,2982400,148.779999,150.089996,#N/A,#N/A,#N/A,#N/A
2015-10-05,2015,10,5,4,41,2,145.820007,149.889999,145.820007,149.039993,4993900,149.039993,148.779999,#N/A,#N/A,#N/A,#N/A
2015-10-02,2015,10,2,4,40,6,141.050003,144.589996,140.559998,144.580002,3021800,144.580002,149.039993,#N/A,#N/A,#N/A,#N/A
2015-10-01,2015,10,1,4,40,5,145.309998,145.669998,141.589996,143.589996,3815000,143.589996,144.580002,#N/A,#N/A,#N/A,#N/A
2015-09-30,2015,9,30,3,40,4,143.690002,145.710007,143.660004,144.970001,3923900,144.970001,143.589996,#N/A,#N/A,#N/A,#N/A
2015-09-29,2015,9,29,3,40,3,141.990005,142.660004,141.149994,142.470001,4741400,142.470001,144.970001,#N/A,#N/A,#N/A,#N/A
2015-09-28,2015,9,28,3,40,2,144.419998,145.380005,142.470001,142.520004,4292400,142.520004,142.470001,#N/A,#N/A,#N/A,#N/A
2015-09-25,2015,9,25,3,39,6,145.550003,146.270004,144.529999,145.419998,3449300,145.419998,142.520004,#N/A,#N/A,#N/A,#N/A
2015-09-24,2015,9,24,3,39,5,142.600006,145.070007,141.949997,144.410004,3211100,144.410004,145.419998,#N/A,#N/A,#N/A,#N/A
2015-09-23,2015,9,23,3,39,4,144.210007,144.570007,142.75,143.660004,2670500,143.660004,144.410004,#N/A,#N/A,#N/A,#N/A
2015-09-22,2015,9,22,3,39,3,144.619995,145.059998,143.770004,144.429993,3466400,144.429993,143.660004,#N/A,#N/A,#N/A,#N/A
2015-09-21,2015,9,21,3,39,2,145.389999,146.979996,144.919998,146.479996,3329900,146.479996,144.429993,#N/A,#N/A,#N/A,#N/A
2015-09-18,2015,9,18,3,38,6,146.050003,146.389999,143.979996,144.509995,7776500,144.509995,146.479996,#N/A,#N/A,#N/A,#N/A
2015-09-17,2015,9,17,3,38,5,148.100006,149.679993,147.300003,148.139999,3946900,148.139999,144.509995,#N/A,#N/A,#N/A,#N/A
2015-09-16,2015,9,16,3,38,4,147.839996,148.889999,147.539993,148.410004,2791200,148.410004,148.139999,#N/A,#N/A,#N/A,#N/A
2015-09-15,2015,9,15,3,38,3,146.600006,147.929993,145.759995,147.529999,2709500,147.529999,148.410004,#N/A,#N/A,#N/A,#N/A
2015-09-14,2015,9,14,3,38,2,147.369995,147.369995,145.410004,145.649994,3202200,145.649994,147.529999,#N/A,#N/A,#N/A,#N/A
2015-09-11,2015,9,11,3,37,6,145.910004,147.5,145.669998,147.369995,3107600,147.369995,145.649994,#N/A,#N/A,#N/A,#N/A
2015-09-10,2015,9,10,3,37,5,145.850006,147.160004,144.509995,146.199997,3455000,146.199997,147.369995,#N/A,#N/A,#N/A,#N/A
2015-09-09,2015,9,9,3,37,4,148.740005,149.039993,144.850006,145.050003,3380000,145.050003,146.199997,#N/A,#N/A,#N/A,#N/A
2015-09-08,2015,9,8,3,37,3,145.860001,147.339996,145.660004,147.229996,3892600,147.229996,145.050003,#N/A,#N/A,#N/A,#N/A
2015-09-04,2015,9,4,3,36,6,144.570007,145.399994,143.320007,143.699997,4193900,143.699997,147.229996,#N/A,#N/A,#N/A,#N/A
2015-09-03,2015,9,3,3,36,5,146.050003,148.029999,145.770004,146.779999,3593100,146.779999,143.699997,#N/A,#N/A,#N/A,#N/A
2015-09-02,2015,9,2,3,36,4,144.740005,145.080002,143.179993,145.050003,4243500,145.050003,146.779999,#N/A,#N/A,#N/A,#N/A
2015-09-01,2015,9,1,3,36,3,144.910004,144.979996,141.850006,142.679993,5258900,142.679993,145.050003,#N/A,#N/A,#N/A,#N/A
2015-08-31,2015,8,31,3,36,2,147.380005,148.399994,146.259995,147.889999,4062600,147.889999,142.679993,#N/A,#N/A,#N/A,#N/A
2015-08-28,2015,8,28,3,35,6,147.75,148.199997,147.179993,147.979996,4058800,147.979996,147.889999,#N/A,#N/A,#N/A,#N/A
2015-08-27,2015,8,27,3,35,5,148.5,148.970001,145.660004,148.539993,4762000,148.539993,147.979996,#N/A,#N/A,#N/A,#N/A
2015-08-26,2015,8,26,3,35,4,144.089996,146.979996,142.139999,146.699997,6186700,146.699997,148.539993,Argus,Upgrade,Hold,Buy
2015-08-25,2015,8,25,3,35,3,146.940002,147.110001,140.619995,140.960007,6866900,140.960007,146.699997,#N/A,#N/A,#N/A,#N/A
2015-08-24,2015,8,24,3,35,2,143.470001,147.759995,143,143.470001,10057600,143.470001,140.960007,#N/A,#N/A,#N/A,#N/A
2015-08-21,2015,8,21,3,34,6,151.5,153.190002,148.699997,148.850006,7304900,148.850006,143.470001,#N/A,#N/A,#N/A,#N/A
2015-08-20,2015,8,20,3,34,5,152.740005,153.910004,152.5,152.660004,3949500,152.660004,148.850006,#N/A,#N/A,#N/A,#N/A
2015-08-19,2015,8,19,3,34,4,155.149994,155.669998,153.410004,153.940002,4177100,153.940002,152.660004,#N/A,#N/A,#N/A,#N/A
2015-08-18,2015,8,18,3,34,3,155.509995,156.520004,155.25,156.009995,2013800,156.009995,153.940002,#N/A,#N/A,#N/A,#N/A
2015-08-17,2015,8,17,3,34,2,155.199997,156.690002,154.699997,156.309998,2242100,156.309998,156.009995,#N/A,#N/A,#N/A,#N/A
2015-08-14,2015,8,14,3,33,6,155,156.210007,154.580002,155.75,3220300,155.75,156.309998,#N/A,#N/A,#N/A,#N/A
2015-08-13,2015,8,13,3,33,5,156.059998,156.089996,154.320007,155.070007,2505800,155.070007,155.75,#N/A,#N/A,#N/A,#N/A
2015-08-12,2015,8,12,3,33,4,154.259995,156.520004,153.949997,156.160004,3560300,156.160004,155.070007,#N/A,#N/A,#N/A,#N/A
2015-08-11,2015,8,11,3,33,3,155.960007,155.990005,154.860001,155.509995,3143300,155.509995,156.160004,#N/A,#N/A,#N/A,#N/A
2015-08-10,2015,8,10,3,33,2,156.770004,157.470001,156.119995,156.75,4597200,156.75,155.509995,#N/A,#N/A,#N/A,#N/A
2015-08-07,2015,8,7,3,32,6,155.889999,156.25,154.339996,155.119995,3778900,155.119995,156.75,#N/A,#N/A,#N/A,#N/A
2015-08-06,2015,8,6,3,32,5,157.130005,157.539993,156.179993,156.320007,3004800,156.320007,155.119995,#N/A,#N/A,#N/A,#N/A
2015-08-05,2015,8,5,3,32,4,159.100006,159.539993,157.479996,157.899994,3472800,156.599992,156.320007,#N/A,#N/A,#N/A,#N/A
2015-08-04,2015,8,4,3,32,3,158.399994,158.820007,156.869995,157.600006,5260600,156.302474,156.599992,#N/A,#N/A,#N/A,#N/A
2015-08-03,2015,8,3,3,32,2,161.699997,161.850006,157.899994,158.710007,4615700,157.403336,156.302474,#N/A,#N/A,#N/A,#N/A
2015-07-31,2015,7,31,3,31,6,161.399994,162.059998,160.630005,161.990005,3580200,160.65633,157.403336,#N/A,#N/A,#N/A,#N/A
2015-07-30,2015,7,30,3,31,5,160.5,161.399994,159.75,160.960007,1994700,159.634812,160.65633,#N/A,#N/A,#N/A,#N/A
2015-07-29,2015,7,29,3,31,4,160,161.5,159.389999,161.089996,3378400,159.763731,159.634812,#N/A,#N/A,#N/A,#N/A
2015-07-28,2015,7,28,3,31,3,159.910004,160.190002,158.5,160.050003,2721000,158.7323,159.763731,#N/A,#N/A,#N/A,#N/A
2015-07-27,2015,7,27,3,31,2,159,160.179993,158.600006,159.070007,3706200,157.760373,158.7323,#N/A,#N/A,#N/A,#N/A
2015-07-24,2015,7,24,3,30,6,161.289993,161.929993,159.410004,159.75,3778200,158.434767,157.760373,#N/A,#N/A,#N/A,#N/A
2015-07-23,2015,7,23,3,30,5,160.270004,162.75,159.830002,161.729996,5034200,160.398461,158.434767,#N/A,#N/A,#N/A,#N/A
2015-07-22,2015,7,22,3,30,4,162.729996,163.070007,159.699997,160.350006,7181800,159.029833,160.398461,#N/A,#N/A,#N/A,#N/A
2015-07-21,2015,7,21,3,30,3,164.339996,166.350006,162.020004,163.070007,13752300,161.72744,159.029833,#N/A,#N/A,#N/A,#N/A
2015-07-20,2015,7,20,3,30,2,172.789993,173.779999,172.139999,173.220001,7377800,171.793869,161.72744,#N/A,#N/A,#N/A,#N/A
2015-07-17,2015,7,17,3,29,6,170.330002,172.520004,170.100006,172.509995,4356400,171.089708,171.793869,#N/A,#N/A,#N/A,#N/A
2015-07-16,2015,7,16,3,29,5,169.470001,171.089996,169.160004,171,3529900,169.592145,171.089708,#N/A,#N/A,#N/A,#N/A
2015-07-15,2015,7,15,3,29,4,168.479996,169.270004,168,168.529999,1998000,167.142479,169.592145,#N/A,#N/A,#N/A,#N/A
