"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADSW","Advanced Disposal Services, Inc.","22.46","1970201015.02","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"ALP^O","Alabama Power Company","25.85","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"AQN","Algonquin Power & Utilities Corp.","8.35","2288490729.1","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"ALE","Allete, Inc.","63.66","3148795482","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","37.93","8629091234.04","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","52.38","12709210719.24","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","12.58","41239756000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","12.8","41960960000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","62.76","30859815811.08","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","18.2","760714154.2","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","44.95","1643810082.7","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","72.25","12860743265.75","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AM","Antero Midstream Partners LP","30.57","5420037980.79","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","29.98","5317200544.86","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","22.06","582119632.96","n/a","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/waas",
"AROC","Archrock, Inc.","13.75","957360662.5","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aroc",
"T","AT&T Inc.","43.02","264185820000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATTO","Atento S.A.","7.85","579221866.25","n/a","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atto",
"ATO","Atmos Energy Corporation","74.55","7834812419.7","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
ADGE,American DG Energy Inc.,0.33,16725751.35,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
AE,"Adams Resources & Energy, Inc.",39.3,165751522.8,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
BRN,"Barnwell Industries, Inc.",1.6935,14017370.46,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
CKX,"CKX Lands, Inc.",10.5,20396197.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
CQH,"Cheniere Energy Partners LP Holdings, LLC",17.82,4128894000,n/a,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",27.78,9384639961,n/a,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
DAKP,"Dakota Plains Holdings, Inc.",0.1,5515820.1,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/dakp
DXI,DXI Energy Inc.,0.22,8032189.66,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dxi
ENRJ,"EnerJex Resources, Inc.",0.231,1945929.216,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENSV,ENSERVCO Corporation,0.61,23250431.82,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
EPM,"Evolution Petroleum Corporation, Inc.",4.7,154542791.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
ERN,Erin Energy Corp.,1.78,377385601.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESTE,"Earthstone Energy, Inc.",11.5,159103972,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
FEN,First Trust Energy Income and Growth Fund,23,445169922,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
FPP,FieldPoint Petroleum Corporation,0.4562,4051102.076,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
GBR,"New Concept Energy, Inc",0.8459,1646911.471,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gbr
GST,Gastar Exploration Inc.,1.08,88384257,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GTE,Gran Tierra Energy Inc.,2.34,671883065.1,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
HUSA,Houston American Energy Corporation,0.191,9928169.495,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IMO,Imperial Oil Limited,32.64,27665631719,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
LEI,"Lucas Energy, Inc.",3.05,4477067.55,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lei
LEU,Centrus Energy Corp.,4.43,39870000,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
LNG,"Cheniere Energy, Inc.",33.77,7956721420,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
MCF,Contango Oil & Gas Company,11.2,217379019.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
MXC,Mexco Energy Corporation,2.4275,4945463.215,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mxc
NOG,"Northern Oil and Gas, Inc.",3.82,241173606.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nog
PARR,"Par Pacific Holdings, Inc.",18.74,769803537.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/parr
PED,Pedevco Corp.,0.21,9867164.37,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ped
REI,"Ring Energy, Inc.",4.97,151072801.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rei
SDPI,"Superior Drilling Products, Inc.",1.35,23533569.9,n/a,2014,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/sdpi
SPP,Sanchez Production Partners LP,11.7,35463296.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/spp
SSN,Samson Oil & Gas Limited,0.85,12060795.35,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssn
SYRG,Synergy Resources Corporation,7.57,832497033.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/syrg
TAT,Transatlantic Petroleum Ltd,0.6901,28364136.18,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat
TGC,"Tengasco, Inc.",1.5,9126361.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tgc
TPLM,Triangle Petroleum Corporation,0.5035,38121547.86,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tplm
