"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADSW","Advanced Disposal Services, Inc.","22.46","1970201015.02","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"ALP^O","Alabama Power Company","25.85","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"AQN","Algonquin Power & Utilities Corp.","8.35","2288490729.1","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"ALE","Allete, Inc.","63.66","3148795482","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","37.93","8629091234.04","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","52.38","12709210719.24","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","12.58","41239756000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","12.8","41960960000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","62.76","30859815811.08","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","18.2","760714154.2","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","44.95","1643810082.7","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","72.25","12860743265.75","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AM","Antero Midstream Partners LP","30.57","5420037980.79","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","29.98","5317200544.86","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
